trame,seconde,camera,boucles,fps
8600,172.0,1396,8,8.0
8650,173.0,1396,7,7.0
8700,174.0,1396,8,8.0
8750,175.0,1396,8,8.0
8800,176.0,1396,7,7.0
8850,177.0,1396,8,8.0
8900,178.0,1396,7,7.0
8950,179.0,1396,8,8.0
9000,180.0,1396,7,7.0
9050,181.0,1396,8,8.0
9100,182.0,1396,8,8.0
9150,183.0,1396,7,7.0
9200,184.0,1396,8,8.0
9250,185.0,1396,7,7.0
9300,186.0,1396,7,7.0
9350,187.0,1396,8,8.0
9400,188.0,1396,7,7.0
9450,189.0,1396,8,8.0
9500,190.0,1396,8,8.0
9550,191.0,1396,7,7.0
9600,192.0,1396,8,8.0
9650,193.0,1396,7,7.0
9700,194.0,1396,8,8.0
9750,195.0,1396,7,7.0
9800,196.0,1396,7,7.0
9850,197.0,1396,8,8.0
9900,198.0,1396,8,8.0
9950,199.0,1396,7,7.0
10000,200.0,1396,8,8.0
10050,201.0,1396,7,7.0
10100,202.0,1396,7,7.0
10150,203.0,1396,7,7.0
10200,204.0,1396,7,7.0
10250,205.0,1396,7,7.0
10300,206.0,1396,6,6.0
10350,207.0,1396,7,7.0
10400,208.0,1396,8,8.0
10450,209.0,1396,6,6.0
10500,210.0,1396,8,8.0
10550,211.0,1396,7,7.0
10600,212.0,1396,8,8.0
10650,213.0,1396,8,8.0
10700,214.0,1396,7,7.0
10750,215.0,1396,10,10.0
10800,216.0,1396,8,8.0
10850,217.0,1396,9,9.0
10900,218.0,1396,9,9.0
10950,219.0,1396,8,8.0
11000,220.0,1396,10,10.0
11050,221.0,1396,8,8.0
11100,222.0,1396,9,9.0
11150,223.0,1396,9,9.0
11200,224.0,1396,8,8.0
11250,225.0,1396,10,10.0
11300,226.0,1396,6,6.0
11350,227.0,1396,8,8.0
11400,228.0,1396,13,13.0
11450,229.0,1400,12,12.0
11500,230.0,1410,13,13.0
11550,231.0,1419,12,12.0
11600,232.0,1429,13,13.0
11650,233.0,1438,12,12.0
11700,234.0,1440,40,40.0
11750,235.0,1440,50,50.0
11800,236.0,1440,50,50.0
11850,237.0,1440,50,50.0
11900,238.0,1440,50,50.0
11950,239.0,1440,50,50.0
12000,240.0,1440,50,50.0
12050,241.0,1440,50,50.0
12100,242.0,1440,50,50.0
12150,243.0,1440,50,50.0
12200,244.0,1440,50,50.0
12250,245.0,1440,47,47.0
12300,246.0,1440,0,0.0
12350,247.0,1440,0,0.0
12400,248.0,1440,0,0.0
12450,249.0,1440,0,0.0
12500,250.0,1440,0,0.0
12550,251.0,1440,0,0.0
12600,252.0,1440,0,0.0
12650,253.0,1440,0,0.0
12700,254.0,1440,0,0.0
12750,255.0,1440,0,0.0
12800,256.0,1440,0,0.0
12850,257.0,1440,0,0.0
12900,258.0,1440,0,0.0
12950,259.0,1440,0,0.0
13000,260.0,1440,0,0.0
13050,261.0,1440,0,0.0
13100,262.0,1440,0,0.0
13150,263.0,1440,0,0.0
13200,264.0,1440,0,0.0
13250,265.0,1440,0,0.0
