file,name,type,visibility,description,old file,old name
/engine/system/to8/irq/irq.asm,irq.userRoutine,variable,public,,/engine/irq/Irq.asm,Irq_user_routine
/engine/system/to8/irq/irq.asm,irq.init,routine,public,,/engine/irq/Irq.asm,IrqInit
/engine/system/to8/irq/irq.asm,irq.set50Hz,routine,public,,/engine/irq/Irq.asm,IrqSet50Hz
/engine/system/to8/irq/irq.asm,irq.on,routine,public,,/engine/irq/Irq.asm,IrqOn
/engine/system/to8/irq/irq.asm,irq.on,routine,public,,/engine/irq/Irq.asm,IrqUnpause
/engine/system/to8/irq/irq.asm,irq.off,routine,public,,/engine/irq/Irq.asm,IrqOff
/engine/system/to8/irq/irq.asm,irq.off,routine,public,,/engine/irq/Irq.asm,IrqPause
/engine/system/to8/irq/irq.asm,irq.syncScreenLine,routine,public,,/engine/irq/Irq.asm,IrqSync
/engine/system/to8/irq/irq.asm,irq.manage,routine,private,,/engine/irq/Irq.asm,IrqManager
/engine/system/to8/irq/irq.asm,irq.systemStack,variable,private,,/engine/irq/Irq.asm,Irq_sys_stack
/engine/system/to8/palette/palette.update.asm,palette.update,routine,public,,/engine/palette/PalUpdateNow.asm,PalUpdateNow
/engine/system/to8/palette/palette.update.asm,palette.status,variable,public,,/engine/palette/PalUpdateNow.asm,PalRefresh
/engine/system/to8/palette/palette.update.asm,palette.current,variable,public,,/engine/palette/PalUpdateNow.asm,Pal_current
/engine/system/to8/palette/palette.update.asm,palette.buffer,variable,public,,/engine/palette/PalUpdateNow.asm,Pal_buffer
/engine/sound/ymm.asm,ymm.play,routine,public,this routine sets the music to play,/engine/sound/YM2413vgm.asm,YVGM_PlayMusic
/engine/sound/ymm.asm,ymm.frame.play,routine,public,this routine should be called in user irq at 50hz rate,/engine/sound/YM2413vgm.asm,YVGM_MusicFrame
/engine/system/thomson/controller/joypad.asm,joypad.read,routine,public,Read Joypads state and store result as Press and Help values,/engine/joypad/ReadJoypads.asm,ReadJoypads
/engine/system/thomson/controller/joypad.asm,joypad.state,variable,public,,/engine/joypad/ReadJoypads.asm,Joypads_Read
/engine/system/thomson/controller/joypad.asm,joypad.state.dpad,variable,public,,/engine/joypad/ReadJoypads.asm,Dpad_Read
/engine/system/thomson/controller/joypad.asm,joypad.state.fire,variable,public,,/engine/joypad/ReadJoypads.asm,Fire_Read
/engine/system/thomson/controller/joypad.asm,joypad.held,variable,public,,/engine/joypad/ReadJoypads.asm,Joypads_Held
/engine/system/thomson/controller/joypad.asm,joypad.held.dpad,variable,public,,/engine/joypad/ReadJoypads.asm,Dpad_Held
/engine/system/thomson/controller/joypad.asm,joypad.held.fire,variable,public,,/engine/joypad/ReadJoypads.asm,Fire_Held
/engine/system/thomson/controller/joypad.asm,joypad.pressed,variable,public,,/engine/joypad/ReadJoypads.asm,Joypads_Press
/engine/system/thomson/controller/joypad.asm,joypad.pressed.dpad,variable,public,,/engine/joypad/ReadJoypads.asm,Dpad_Press
/engine/system/thomson/controller/joypad.asm,joypad.pressed.fire,variable,public,,/engine/joypad/ReadJoypads.asm,Fire_Press
/engine/system/thomson/controller/joypad.const.asm,joypad.0.UP,constant,public,,/engine/joypad/ReadJoypads.asm,c1_button_up_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.0.DOWN,constant,public,,/engine/joypad/ReadJoypads.asm,c1_button_down_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.0.LEFT,constant,public,,/engine/joypad/ReadJoypads.asm,c1_button_left_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.0.RIGHT,constant,public,,/engine/joypad/ReadJoypads.asm,c1_button_right_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.0.A,constant,public,,/engine/joypad/ReadJoypads.asm,c1_button_A_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.0.B,constant,public,,/engine/joypad/ReadJoypads.asm,c1_button_B_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.1.UP,constant,public,,/engine/joypad/ReadJoypads.asm,c2_button_up_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.1.MASK,constant,public,,/engine/joypad/ReadJoypads.asm,c2_button_down_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.1.LEFT,constant,public,,/engine/joypad/ReadJoypads.asm,c2_button_left_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.1.RIGHT,constant,public,,/engine/joypad/ReadJoypads.asm,c2_button_right_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.1.A,constant,public,,/engine/joypad/ReadJoypads.asm,c2_button_A_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.1.B,constant,public,,/engine/joypad/ReadJoypads.asm,c2_button_B_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.x.UP,constant,public,,/engine/joypad/ReadJoypads.asm,c_button_up_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.x.DOWN,constant,public,,/engine/joypad/ReadJoypads.asm,c_button_down_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.x.LEFT,constant,public,,/engine/joypad/ReadJoypads.asm,c_button_left_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.x.RIGHT,constant,public,,/engine/joypad/ReadJoypads.asm,c_button_right_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.x.A,constant,public,,/engine/joypad/ReadJoypads.asm,c_button_A_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.x.B,constant,public,,/engine/joypad/ReadJoypads.asm,c_button_B_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.0.DPAD,constant,public,,/engine/joypad/ReadJoypads.asm,c1_dpad
/engine/system/thomson/controller/joypad.const.asm,joypad.1.DPAD,constant,public,,/engine/joypad/ReadJoypads.asm,c2_dpad
/engine/system/thomson/controller/joypad.const.asm,joypad.0.FIRE,constant,public,,/engine/joypad/ReadJoypads.asm,c1_butn
/engine/system/thomson/controller/joypad.const.asm,joypad.1.FIRE,constant,public,,/engine/joypad/ReadJoypads.asm,c2_butn
/engine/system/thomson/controller/joypad.0.asm,joypad.0.held,variable,public,,/engine/joypad/ReadJoypads2.asm,Ctrl_1_Held
/engine/system/thomson/controller/joypad.0.asm,joypad.0.pressed,variable,public,,/engine/joypad/ReadJoypads2.asm,Ctrl_1_Press
/engine/system/thomson/controller/joypad.0.asm,joypad.0.read,routine,public,,/engine/joypad/ReadJoypads2.asm,ReadJoypads
/engine/system/thomson/controller/joypad.1.asm,joypad.1.held,variable,public,,/engine/joypad/ReadJoypads2.asm,Ctrl_2_Held
/engine/system/thomson/controller/joypad.1.asm,joypad.1.pressed,variable,public,,/engine/joypad/ReadJoypads2.asm,Ctrl_2_Press
/engine/system/thomson/controller/joypad.1.asm,joypad.1.read,routine,public,,/engine/joypad/ReadJoypads2.asm,ReadJoypads
/engine/system/thomson/controller/joypad.const.asm,joypad.UP,constant,public,,/engine/joypad/ReadJoypads2.asm,button_up_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.DOWN,constant,public,,/engine/joypad/ReadJoypads2.asm,button_down_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.LEFT,constant,public,,/engine/joypad/ReadJoypads2.asm,button_left_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.RIGHT,constant,public,,/engine/joypad/ReadJoypads2.asm,button_right_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.A,constant,public,,/engine/joypad/ReadJoypads2.asm,button_A_mask
/engine/system/thomson/controller/joypad.const.asm,joypad.B,constant,public,,/engine/joypad/ReadJoypads2.asm,button_B_mask
