trame,fps,phase
665,14.00,saisie
670,12.00,saisie
675,12.00,saisie
680,12.00,saisie
685,14.00,saisie
690,12.00,saisie
695,12.00,saisie
700,12.00,saisie
705,14.00,saisie
710,12.00,saisie
715,12.00,saisie
720,12.00,saisie
725,14.00,saisie
730,12.00,saisie
735,12.00,saisie
740,12.00,saisie
745,14.00,saisie
750,12.00,saisie
755,14.00,saisie
760,14.00,saisie
765,16.00,saisie
770,14.00,saisie
775,14.00,saisie
780,14.00,saisie
785,14.00,saisie
790,12.00,saisie
795,12.00,saisie
800,14.00,saisie
805,12.00,saisie
810,12.00,saisie
815,12.00,saisie
820,14.00,saisie
825,12.00,saisie
830,12.00,saisie
835,12.00,saisie
840,14.00,saisie
845,12.00,saisie
850,12.00,saisie
855,12.00,saisie
860,14.00,saisie
865,12.00,saisie
870,12.00,saisie
875,12.00,saisie
880,14.00,saisie
885,12.00,saisie
890,12.00,saisie
895,12.00,saisie
900,14.00,saisie
905,12.00,saisie
910,12.00,saisie
915,12.00,saisie
920,14.00,saisie
925,12.00,saisie
930,12.00,saisie
935,12.00,saisie
940,14.00,saisie
945,12.00,saisie
950,12.00,saisie
955,12.00,saisie
960,14.00,saisie
965,12.00,saisie
970,12.00,saisie
975,12.00,saisie
980,14.00,saisie
985,12.00,saisie
990,12.00,saisie
995,12.00,saisie
1000,14.00,saisie
1005,12.00,saisie
1010,12.00,saisie
1015,12.00,saisie
1020,14.00,saisie
1025,12.00,saisie
1030,12.00,saisie
1035,12.00,saisie
1040,14.00,saisie
1045,12.00,saisie
1050,12.00,saisie
1055,12.00,saisie
1060,14.00,saisie
1065,12.00,saisie
1070,12.00,saisie
1075,12.00,saisie
1080,14.00,saisie
1085,12.00,saisie
1090,12.00,saisie
1095,12.00,saisie
1100,14.00,saisie
1105,12.00,saisie
1110,12.00,saisie
1115,12.00,saisie
1120,14.00,saisie
1125,12.00,saisie
1130,12.00,saisie
1135,12.00,saisie
1140,14.00,saisie
1145,12.00,saisie
1150,12.00,saisie
1155,12.00,saisie
1160,14.00,saisie
1165,12.00,saisie
1170,12.00,saisie
1175,12.00,saisie
1180,14.00,saisie
1185,12.00,saisie
1190,12.00,saisie
1195,12.00,saisie
1200,14.00,saisie
1205,12.00,saisie
1210,12.00,saisie
1215,12.00,saisie
1220,14.00,saisie
1225,12.00,saisie
1230,12.00,saisie
1235,12.00,saisie
1240,14.00,saisie
1245,12.00,saisie
1250,12.00,saisie
1255,14.00,saisie
1260,16.00,saisie
1265,14.00,saisie
1270,16.00,saisie
1275,16.00,saisie
1280,14.00,saisie
1285,14.00,saisie
1290,14.00,saisie
1295,12.00,saisie
1300,12.00,saisie
1305,14.00,saisie
1310,12.00,saisie
1315,12.00,saisie
1320,12.00,saisie
1325,14.00,saisie
1330,12.00,saisie
1335,12.00,saisie
1340,12.00,saisie
1345,14.00,saisie
1350,12.00,saisie
1355,12.00,saisie
1360,12.00,saisie
1365,14.00,saisie
1370,12.00,saisie
1375,12.00,saisie
1380,12.00,saisie
1385,14.00,saisie
1390,12.00,saisie
1395,12.00,saisie
1400,12.00,saisie
1405,14.00,saisie
1410,12.00,saisie
1415,12.00,saisie
1420,12.00,saisie
1425,14.00,saisie
1430,12.00,saisie
1435,12.00,saisie
1440,12.00,saisie
1445,14.00,saisie
1450,12.00,saisie
1455,12.00,saisie
1460,12.00,saisie
1465,14.00,saisie
1470,12.00,saisie
1475,12.00,saisie
1480,12.00,saisie
1485,14.00,saisie
1490,12.00,saisie
1495,12.00,saisie
1500,12.00,saisie
1505,14.00,saisie
1510,12.00,saisie
1515,12.00,saisie
1520,12.00,saisie
1525,14.00,saisie
1530,12.00,saisie
1535,12.00,saisie
1540,12.00,saisie
1545,14.00,saisie
1550,12.00,saisie
1555,12.00,saisie
1560,12.00,saisie
1565,14.00,saisie
1570,12.00,saisie
1575,12.00,saisie
1580,12.00,saisie
1585,12.00,saisie
1590,10.00,saisie
1595,10.00,saisie
1600,10.00,saisie
1605,10.00,saisie
1610,10.00,saisie
1615,10.00,saisie
1620,10.00,saisie
1625,10.00,saisie
1630,12.00,saisie
1635,12.00,saisie
1640,12.00,saisie
1645,12.00,saisie
1650,14.00,saisie
1655,12.00,saisie
1660,12.00,saisie
1665,12.00,saisie
1670,14.00,saisie
1675,12.00,saisie
1680,12.00,saisie
1685,12.00,saisie
1690,14.00,saisie
1695,12.00,saisie
1700,12.00,saisie
1705,12.00,saisie
1710,14.00,saisie
1715,12.00,saisie
1720,12.00,saisie
1725,12.00,saisie
1730,14.00,saisie
1735,12.00,saisie
1740,12.00,saisie
1745,12.00,saisie
1750,14.00,saisie
1755,12.00,saisie
1760,12.00,saisie
1765,14.00,saisie
1770,16.00,saisie
1775,14.00,saisie
1780,16.00,saisie
1785,16.00,saisie
1790,14.00,saisie
1795,14.00,saisie
1800,14.00,saisie
1805,12.00,saisie
1810,12.00,saisie
1815,14.00,saisie
1820,12.00,saisie
1825,12.00,saisie
1830,12.00,saisie
1835,14.00,saisie
1840,12.00,saisie
1845,12.00,saisie
1850,12.00,saisie
1855,14.00,saisie
1860,12.00,saisie
1865,12.00,saisie
1870,12.00,saisie
1875,14.00,saisie
1880,12.00,saisie
1885,12.00,saisie
1890,12.00,saisie
1895,14.00,saisie
1900,12.00,saisie
1905,12.00,saisie
1910,12.00,saisie
1915,14.00,saisie
1920,12.00,saisie
1925,12.00,saisie
1930,12.00,saisie
1935,14.00,saisie
1940,12.00,saisie
1945,12.00,saisie
1950,12.00,saisie
1955,14.00,saisie
1960,12.00,saisie
1965,12.00,saisie
1970,12.00,saisie
1975,14.00,saisie
1980,12.00,saisie
1985,12.00,saisie
1990,12.00,saisie
1995,14.00,saisie
2000,12.00,saisie
2005,12.00,saisie
2010,12.00,saisie
2015,14.00,saisie
2020,12.00,saisie
2025,12.00,saisie
2030,12.00,saisie
2035,14.00,saisie
2040,12.00,saisie
2045,12.00,saisie
2050,12.00,saisie
2055,14.00,saisie
2060,12.00,saisie
2065,12.00,saisie
2070,12.00,saisie
2075,14.00,saisie
2080,12.00,saisie
2085,12.00,saisie
2090,12.00,saisie
2095,14.00,saisie
2100,12.00,saisie
2105,12.00,saisie
2110,12.00,saisie
2115,14.00,saisie
2120,12.00,saisie
2125,12.00,saisie
2130,12.00,saisie
2135,14.00,saisie
2140,12.00,saisie
2145,12.00,saisie
2150,12.00,saisie
2155,14.00,saisie
2160,12.00,saisie
2165,12.00,saisie
2170,12.00,saisie
2175,14.00,saisie
2180,12.00,saisie
2185,12.00,saisie
2190,12.00,saisie
2195,14.00,saisie
2200,12.00,tableau
2205,12.00,tableau
2210,10.00,tableau
2215,10.00,tableau
2220,8.00,tableau
2225,8.00,tableau
2230,8.00,tableau
2235,10.00,tableau
2240,8.00,tableau
2245,8.00,tableau
2250,8.00,tableau
2255,8.00,tableau
2260,8.00,tableau
2265,10.00,tableau
2270,8.00,tableau
2275,8.00,tableau
2280,8.00,tableau
2285,8.00,tableau
2290,8.00,tableau
2295,8.00,tableau
2300,8.00,tableau
2305,8.00,tableau
2310,8.00,tableau
2315,8.00,tableau
2320,10.00,tableau
2325,8.00,tableau
2330,8.00,tableau
2335,8.00,tableau
2340,8.00,tableau
2345,8.00,tableau
2350,10.00,tableau
2355,8.00,tableau
2360,8.00,tableau
2365,8.00,tableau
2370,8.00,tableau
2375,8.00,tableau
2380,10.00,tableau
2385,8.00,tableau
2390,8.00,tableau
2395,8.00,tableau
2400,8.00,tableau
2405,8.00,tableau
2410,10.00,tableau
2415,8.00,tableau
2420,8.00,tableau
2425,8.00,tableau
2430,8.00,tableau
2435,8.00,tableau
2440,10.00,tableau
2445,8.00,tableau
2450,8.00,tableau
2455,8.00,tableau
2460,10.00,entre-tours
2465,12.00,entre-tours
2470,18.00,entre-tours
2475,20.00,entre-tours
2480,24.00,entre-tours
2485,24.00,entre-tours
2490,26.00,entre-tours
2495,24.00,entre-tours
2500,26.00,entre-tours
2505,24.00,entre-tours
2510,26.00,entre-tours
2515,24.00,entre-tours
2520,26.00,entre-tours
2525,24.00,entre-tours
2530,26.00,entre-tours
2535,24.00,entre-tours
2540,26.00,entre-tours
2545,24.00,entre-tours
2550,26.00,entre-tours
2555,24.00,entre-tours
2560,24.00,noir
2565,22.00,revelation
2570,22.00,revelation
2575,22.00,revelation
2580,22.00,revelation
2585,24.00,revelation
2590,24.00,revelation
2595,26.00,revelation
2600,24.00,revelation
2605,26.00,revelation
2610,24.00,revelation
2615,26.00,revelation
2620,24.00,revelation
2625,26.00,revelation
2630,24.00,revelation
2635,26.00,revelation
2640,24.00,revelation
2645,26.00,revelation
2650,24.00,saisie
2655,24.00,saisie
2660,20.00,saisie
2665,20.00,saisie
2670,18.00,saisie
2675,16.00,saisie
2680,16.00,saisie
2685,18.00,saisie
2690,16.00,saisie
2695,16.00,saisie
2700,18.00,saisie
2705,16.00,saisie
2710,16.00,saisie
2715,18.00,saisie
2720,16.00,saisie
2725,16.00,saisie
2730,18.00,saisie
2735,16.00,saisie
2740,16.00,saisie
2745,18.00,saisie
2750,16.00,saisie
2755,16.00,saisie
2760,18.00,saisie
2765,16.00,saisie
2770,16.00,saisie
2775,18.00,saisie
2780,16.00,saisie
2785,16.00,saisie
2790,16.00,saisie
2795,14.00,saisie
2800,12.00,saisie
2805,14.00,saisie
2810,12.00,saisie
2815,12.00,saisie
2820,12.00,saisie
2825,14.00,saisie
2830,12.00,saisie
2835,12.00,saisie
2840,12.00,saisie
2845,14.00,saisie
2850,12.00,saisie
2855,12.00,saisie
2860,12.00,saisie
2865,14.00,saisie
2870,12.00,saisie
2875,12.00,saisie
2880,12.00,saisie
2885,14.00,saisie
2890,12.00,saisie
2895,12.00,saisie
2900,12.00,saisie
2905,14.00,saisie
2910,12.00,saisie
2915,12.00,saisie
2920,12.00,saisie
2925,14.00,saisie
2930,12.00,saisie
2935,12.00,saisie
2940,12.00,saisie
2945,14.00,saisie
2950,12.00,saisie
2955,12.00,saisie
2960,12.00,saisie
2965,14.00,saisie
2970,12.00,saisie
2975,12.00,saisie
2980,12.00,saisie
2985,14.00,saisie
2990,12.00,saisie
2995,12.00,saisie
