trame,fps,phase
655,16.00,saisie
660,16.00,saisie
665,14.00,saisie
670,14.00,saisie
675,12.00,saisie
680,14.00,saisie
685,12.00,saisie
690,12.00,saisie
695,12.00,saisie
700,14.00,saisie
705,12.00,saisie
710,12.00,saisie
715,12.00,saisie
720,14.00,saisie
725,12.00,saisie
730,12.00,saisie
735,12.00,saisie
740,14.00,saisie
745,12.00,saisie
750,12.00,saisie
755,12.00,saisie
760,14.00,saisie
765,12.00,saisie
770,12.00,saisie
775,12.00,saisie
780,14.00,saisie
785,12.00,saisie
790,12.00,saisie
795,12.00,saisie
800,14.00,saisie
805,12.00,saisie
810,12.00,saisie
815,12.00,saisie
820,14.00,saisie
825,12.00,saisie
830,12.00,saisie
835,12.00,saisie
840,14.00,saisie
845,12.00,saisie
850,12.00,saisie
855,12.00,saisie
860,14.00,saisie
865,12.00,saisie
870,12.00,saisie
875,12.00,saisie
880,14.00,saisie
885,12.00,saisie
890,12.00,saisie
895,12.00,saisie
900,14.00,saisie
905,12.00,saisie
910,12.00,saisie
915,12.00,saisie
920,14.00,saisie
925,12.00,saisie
930,12.00,saisie
935,12.00,saisie
940,14.00,saisie
945,12.00,saisie
950,12.00,saisie
955,12.00,saisie
960,14.00,saisie
965,12.00,saisie
970,12.00,saisie
975,12.00,saisie
980,14.00,saisie
985,12.00,saisie
990,12.00,saisie
995,12.00,saisie
1000,12.00,saisie
1005,10.00,saisie
1010,12.00,saisie
1015,12.00,saisie
1020,12.00,saisie
1025,12.00,saisie
1030,14.00,saisie
1035,12.00,saisie
1040,12.00,saisie
1045,12.00,saisie
1050,14.00,saisie
1055,12.00,saisie
1060,12.00,saisie
1065,12.00,saisie
1070,14.00,saisie
1075,12.00,saisie
1080,12.00,saisie
1085,12.00,saisie
1090,14.00,saisie
1095,12.00,saisie
1100,12.00,saisie
1105,14.00,saisie
1110,14.00,saisie
1115,14.00,saisie
1120,16.00,saisie
1125,16.00,saisie
1130,16.00,saisie
1135,18.00,saisie
1140,16.00,saisie
1145,16.00,saisie
1150,18.00,saisie
1155,16.00,saisie
1160,16.00,saisie
1165,18.00,saisie
1170,16.00,saisie
1175,16.00,saisie
1180,18.00,saisie
1185,16.00,saisie
1190,16.00,saisie
1195,18.00,saisie
1200,16.00,saisie
1205,16.00,saisie
1210,18.00,saisie
1215,16.00,saisie
1220,16.00,saisie
1225,18.00,saisie
1230,16.00,saisie
1235,16.00,saisie
1240,18.00,saisie
1245,16.00,saisie
1250,16.00,saisie
1255,16.00,saisie
1260,14.00,saisie
1265,12.00,saisie
1270,14.00,saisie
1275,12.00,saisie
1280,12.00,saisie
1285,12.00,saisie
1290,14.00,saisie
1295,12.00,saisie
1300,12.00,saisie
1305,12.00,saisie
1310,14.00,saisie
1315,12.00,saisie
1320,12.00,saisie
1325,14.00,saisie
1330,14.00,saisie
1335,14.00,saisie
1340,16.00,saisie
1345,16.00,saisie
1350,16.00,saisie
1355,18.00,saisie
1360,16.00,saisie
1365,16.00,saisie
1370,18.00,saisie
1375,16.00,saisie
1380,16.00,saisie
1385,18.00,saisie
1390,16.00,saisie
1395,14.00,saisie
1400,16.00,saisie
1405,16.00,saisie
1410,14.00,saisie
1415,16.00,saisie
1420,18.00,saisie
1425,16.00,saisie
1430,16.00,saisie
1435,18.00,saisie
1440,16.00,saisie
1445,16.00,saisie
1450,18.00,saisie
1455,16.00,saisie
1460,16.00,saisie
1465,18.00,saisie
1470,16.00,saisie
1475,16.00,saisie
1480,18.00,saisie
1485,16.00,saisie
1490,16.00,saisie
1495,18.00,saisie
1500,16.00,saisie
1505,16.00,saisie
1510,18.00,saisie
1515,16.00,saisie
1520,14.00,saisie
1525,14.00,saisie
1530,14.00,saisie
1535,12.00,saisie
1540,12.00,saisie
1545,12.00,saisie
1550,14.00,saisie
1555,12.00,saisie
1560,12.00,saisie
1565,12.00,saisie
1570,14.00,saisie
1575,12.00,saisie
1580,12.00,saisie
1585,12.00,saisie
1590,14.00,saisie
1595,12.00,saisie
1600,12.00,saisie
1605,12.00,saisie
1610,14.00,saisie
1615,12.00,saisie
1620,12.00,saisie
1625,12.00,saisie
1630,14.00,saisie
1635,12.00,saisie
1640,12.00,saisie
1645,12.00,saisie
1650,14.00,saisie
1655,12.00,saisie
1660,12.00,saisie
1665,12.00,saisie
1670,14.00,saisie
1675,12.00,saisie
1680,12.00,saisie
1685,12.00,saisie
1690,14.00,saisie
1695,12.00,saisie
1700,12.00,saisie
1705,12.00,saisie
1710,14.00,saisie
1715,12.00,saisie
1720,12.00,saisie
1725,12.00,saisie
1730,14.00,saisie
1735,12.00,saisie
1740,12.00,saisie
1745,12.00,saisie
1750,14.00,saisie
1755,12.00,saisie
1760,12.00,saisie
1765,12.00,saisie
1770,14.00,saisie
1775,12.00,saisie
1780,14.00,saisie
1785,14.00,saisie
1790,16.00,saisie
1795,16.00,saisie
1800,16.00,saisie
1805,16.00,saisie
1810,18.00,saisie
1815,16.00,saisie
1820,16.00,saisie
1825,18.00,saisie
1830,16.00,saisie
1835,16.00,saisie
1840,18.00,saisie
1845,16.00,saisie
1850,16.00,saisie
1855,18.00,saisie
1860,16.00,saisie
1865,16.00,saisie
1870,18.00,saisie
1875,16.00,saisie
1880,16.00,saisie
1885,18.00,saisie
1890,16.00,saisie
1895,16.00,saisie
1900,18.00,saisie
1905,16.00,saisie
1910,16.00,saisie
1915,18.00,saisie
1920,16.00,saisie
1925,16.00,saisie
1930,18.00,saisie
1935,16.00,saisie
1940,16.00,saisie
1945,18.00,saisie
1950,16.00,saisie
1955,16.00,saisie
1960,18.00,saisie
1965,16.00,saisie
1970,16.00,saisie
1975,18.00,saisie
1980,16.00,saisie
1985,16.00,saisie
1990,18.00,saisie
1995,16.00,saisie
2000,16.00,saisie
2005,18.00,saisie
2010,16.00,saisie
2015,16.00,saisie
2020,18.00,saisie
2025,16.00,saisie
2030,16.00,saisie
2035,18.00,saisie
2040,16.00,saisie
2045,16.00,saisie
2050,18.00,saisie
2055,16.00,saisie
2060,16.00,saisie
2065,18.00,saisie
2070,16.00,saisie
2075,16.00,saisie
2080,18.00,saisie
2085,16.00,saisie
2090,16.00,saisie
2095,18.00,saisie
2100,16.00,saisie
2105,16.00,saisie
2110,18.00,saisie
2115,16.00,saisie
2120,16.00,saisie
2125,16.00,saisie
2130,14.00,saisie
2135,12.00,saisie
2140,14.00,saisie
2145,12.00,saisie
2150,12.00,saisie
2155,12.00,saisie
2160,14.00,saisie
2165,12.00,saisie
2170,12.00,saisie
2175,12.00,saisie
2180,14.00,saisie
2185,12.00,saisie
2190,14.00,saisie
2195,14.00,noir
2200,14.00,tableau
2205,12.00,tableau
2210,12.00,tableau
2215,10.00,tableau
2220,10.00,tableau
2225,8.00,tableau
2230,8.00,tableau
2235,8.00,tableau
2240,8.00,tableau
2245,8.00,tableau
2250,10.00,tableau
2255,8.00,tableau
2260,8.00,tableau
2265,8.00,tableau
2270,8.00,tableau
2275,8.00,tableau
2280,10.00,tableau
2285,8.00,tableau
2290,8.00,tableau
2295,8.00,tableau
2300,8.00,tableau
2305,8.00,tableau
2310,10.00,tableau
2315,8.00,tableau
2320,8.00,tableau
2325,8.00,tableau
2330,8.00,tableau
2335,8.00,tableau
2340,10.00,tableau
2345,8.00,tableau
2350,8.00,tableau
2355,8.00,tableau
2360,8.00,tableau
2365,8.00,tableau
2370,10.00,tableau
2375,8.00,tableau
2380,8.00,tableau
2385,8.00,tableau
2390,8.00,tableau
2395,8.00,tableau
2400,10.00,tableau
2405,8.00,tableau
2410,8.00,tableau
2415,8.00,tableau
2420,8.00,tableau
2425,8.00,tableau
2430,10.00,tableau
2435,8.00,tableau
2440,8.00,tableau
2445,8.00,tableau
2450,8.00,tableau
2455,8.00,entre-tours
2460,14.00,entre-tours
2465,16.00,entre-tours
2470,20.00,entre-tours
2475,22.00,entre-tours
2480,26.00,entre-tours
2485,24.00,entre-tours
2490,26.00,entre-tours
2495,24.00,entre-tours
2500,26.00,entre-tours
2505,24.00,entre-tours
2510,26.00,entre-tours
2515,24.00,entre-tours
2520,26.00,entre-tours
2525,24.00,entre-tours
2530,26.00,entre-tours
2535,24.00,entre-tours
2540,26.00,entre-tours
2545,24.00,entre-tours
2550,26.00,entre-tours
2555,24.00,tableau
2560,22.00,noir
2565,22.00,revelation
2570,22.00,revelation
2575,22.00,revelation
2580,22.00,revelation
2585,26.00,revelation
2590,24.00,revelation
2595,26.00,revelation
2600,24.00,revelation
2605,26.00,revelation
2610,24.00,revelation
2615,22.00,revelation
2620,20.00,revelation
2625,20.00,revelation
2630,16.00,revelation
2635,16.00,revelation
2640,18.00,revelation
2645,16.00,revelation
2650,18.00,saisie
2655,20.00,saisie
2660,22.00,saisie
2665,22.00,saisie
2670,26.00,saisie
2675,24.00,saisie
2680,26.00,saisie
2685,24.00,saisie
2690,26.00,saisie
2695,24.00,saisie
2700,26.00,saisie
2705,24.00,saisie
2710,26.00,saisie
2715,24.00,saisie
2720,26.00,saisie
2725,24.00,saisie
2730,26.00,saisie
2735,24.00,saisie
2740,26.00,saisie
2745,22.00,saisie
2750,22.00,saisie
2755,20.00,saisie
2760,18.00,saisie
2765,16.00,saisie
2770,18.00,saisie
2775,16.00,saisie
2780,16.00,saisie
2785,18.00,saisie
2790,16.00,saisie
2795,16.00,saisie
2800,18.00,saisie
2805,16.00,saisie
2810,16.00,saisie
2815,18.00,saisie
2820,16.00,saisie
2825,16.00,saisie
2830,18.00,saisie
2835,16.00,saisie
2840,16.00,saisie
2845,18.00,saisie
2850,16.00,saisie
2855,16.00,saisie
2860,18.00,saisie
2865,16.00,saisie
2870,16.00,saisie
2875,18.00,saisie
2880,16.00,saisie
2885,16.00,saisie
2890,16.00,saisie
2895,14.00,saisie
2900,14.00,saisie
2905,14.00,saisie
2910,12.00,saisie
2915,12.00,saisie
2920,14.00,saisie
2925,12.00,saisie
2930,12.00,saisie
2935,12.00,saisie
2940,14.00,saisie
2945,12.00,saisie
2950,12.00,saisie
2955,12.00,saisie
2960,14.00,saisie
2965,12.00,saisie
2970,12.00,saisie
2975,12.00,saisie
2980,14.00,saisie
2985,12.00,saisie
2990,12.00,saisie
2995,12.00,saisie
